Breakfast included_booking,Cancel Later_booking,Discount_booking,Discount_expedia,Distance from center_booking,Extras included_expedia,Free Cancellation_booking,Friday,Grade_booking,Grade_expedia,Index_booking,Index_expedia,Is refundable_expedia,LOS,Late payment_expedia,Location grade_booking,Monday,Late payment_booking,Num of Reviews_booking,Num of Reviews_expedia,Option Member_expedia,TTT,Wednesday,Diff_B-E
0,0,0,0,7200,0,0,0,8.5,9.0,98,3,0,2,0,0,1,0,1616,947.0,0,12,0,-77.35000000000002
0,0,0,1,7200,0,0,1,8.5,9.0,99,97,1,5,0,0,0,0,1612,949.0,0,1,0,-49.659999999999854
0,1,0,1,7200,0,1,1,8.5,9.0,99,74,1,5,0,0,0,1,1612,949.0,0,4,0,-52.88000000000011
0,1,0,1,7200,0,1,1,8.5,9.0,85,63,1,5,0,0,0,1,1612,949.0,0,5,0,-48.42999999999984
0,1,0,1,7200,0,1,1,8.5,9.0,97,46,1,4,0,0,0,1,1609,949.0,0,6,0,-36.60000000000002
0,1,0,1,7200,0,1,1,8.5,9.0,95,67,1,5,0,0,0,1,1609,949.0,0,6,0,-47.430000000000064
0,1,0,0,7200,0,1,1,8.5,9.0,88,47,1,1,0,0,0,1,1609,949.0,0,7,0,-56.18000000000001
0,1,0,0,7200,0,1,1,8.5,9.0,87,95,1,2,0,0,0,1,1609,949.0,0,7,0,-112.64
0,1,0,0,7200,0,1,1,8.5,9.0,97,50,1,1,0,0,0,1,1609,949.0,0,8,0,-56.18000000000001
0,0,0,0,2500,0,0,0,7.9,8.2,34,41,1,1,0,0,1,0,1023,1008.0,0,1,0,-121.57
0,0,0,0,2500,0,0,0,7.9,8.2,40,42,1,2,0,0,1,0,1023,1008.0,0,1,0,-247.96000000000004
0,0,0,0,2500,0,0,0,7.9,8.2,51,39,1,3,0,0,1,0,1023,1008.0,0,1,0,-358.3299999999999
0,0,0,0,2500,0,0,0,7.9,8.2,49,40,1,4,0,0,1,0,1023,1008.0,0,1,0,-467.31
